,Vehicle No., Time of Departure, Customer De, Haulier,,,0
,1, 19:00, LIDL MOTHERWELL / Hyde Stock Collection / Culina J27 M1, MP WEAVER,,,33
,3, 20:30, LIDL MOTHERWELL, MORAN,,,32
,5, 23:30, LIDL NORTHFLEET / SAINSBURY'S DARTFORD, MORAN,,,49
,6, 23:30, LIDL SOUTHAMPTON / SAINSBURY'S BASINGSTOKE, MORAN,,,26
,7, 23:30, LIDL BRIDGEND / SAINSBURY'S EMERALD PARK, MORAN,,,28
,8, 23:30, LIDL AVONMOUTH / SAINSBURY'S EMERALD PARK, MORAN,,,29
,9, 23:30, LIDL BELVEDERE / SAINSBURY'S DARTFORD, MORAN,,,26
,10, 0:00, LIDL EXETER, MORAN,,,25
,13, 1:00, LIDL NEWTON AYCLIFFE / SAINSBURY'S SHERBURN IN ELMET, CS2,,,29
,14, 2:00, ICELAND ENFIELD / Waltham Basket Collection - Noon / Noon Southall Stock Collection, MORAN,,,11
,15, 2:00, LIDL ENFIELD / Noon Southall Stock Collection, MORAN,,,43
,16, 2:00, LIDL RUNCORN / Iceland Omega Warrington Fresh, MORAN,,,7
,17, 2:30, LIDL LUTON / SAINSBURY'S NORTHAMPTON, MORAN,,,29
,18, 2:30, LIDL PETERBOROUGH, MP WEAVER,,,35
,19, 2:30, ICELAND LIVINGSTON / SAINSBURY'S LANGLANDS PARK, MORAN,,,26
,20, 2:30, LIDL WEDNESBURY / SAINSBURY'S HAMS HALL, MORAN,,,27
,21, 2:30, ICELAND SWINDON / SAINSBURY'S BASINGSTOKE, MORAN,,,26
,26, 3:00, LIDL DONCASTER / SAINSBURY'S SHERBURN IN ELMET, MP WEAVER,,,26
,30, 4:00, SAINSBURY'S WALTHAM POINT / Waltham Basket Collection - Noon / Noon Southall Stock Collection, MP WEAVER,,,42
,33, 4:00, SAINSBURY'S HAYDOCK / Hyde Stock Collection / Culina J27 M1, MP WEAVER,,,42
,43, 6:00, SAINSBURY'S LANGLANDS PARK, MP WEAVER,,,14
,44, 6:00, TESCO LIVINGSTON (505) / ALDI BATHGATE, MANFREIGHT,,,22
,46, 7:00, SAINSBURY'S SHERBURN IN ELMET / Hyde Stock Collection / Culina J27 M1, MP WEAVER,,,26
,47, 7:00, FERNDALE, GMK,,,1
,49, 8:00, SAINSBURY'S EMERALD PARK / PFM Westerleigh Collection / Brierly Hill Delivery, MP WEAVER,,,42
,51, 8:00, SAINSBURY'S GREENFORD / Noon Southall Stock Collection, MORAN,,,25
,52, 8:00, WAITROSE AYLESFORD CHILLED / Noon Southall Stock Collection, MORAN,,,23
,53, 8:30, ALDI CARDIFF, GMK,,,14
,54, 9:00, SAINSBURY'S BASINGSTOKE / Basingstoke Basket Collection - Noon / Noon Southall Stock Collection, MP WEAVER,,,26
,55, 9:00, SAINSBURY'S NORTHAMPTON / Noon Southall Stock Collection, MP WEAVER,,,26
,56, 9:00, SAINSBURY'S DARTFORD / ALDI CHELMSFORD, MP WEAVER,,,28
,57, 9:30, WAITROSE LEYLAND, MORAN,,,12
,58, 9:30, SAINSBURY'S THAMESIDE / Noon Southall Stock Collection, MORAN,,,31
,59, 9:30, ALDI SWINDON, MORAN,,,13
,60, 10:00, ALDI SHEEPEY, GMK,,,19
,61, 10:00, WAITROSE - TAMWORTH GREENCORE / GREENCORE FTG TAMWORTH / SAINSBURY'S HAMS HALL, CS2,,,27
,62, 10:00, WAITROSE BRACKNELL / Noon Southall Stock Collection, MP WEAVER,,,23
,63, 10:00, WAITROSE BRINKLOW, MORAN,,,14
,65, 11:00, SAINSBURY'S EMERALD PARK, MP WEAVER,,,20
,66, 11:00, SAINSBURY'S BASINGSTOKE, MORAN,,,26
,67, 11:15, SAINSBURY'S DARTFORD, MORAN,,,41
,68, 11:30, SAINSBURY'S WALTHAM POINT / Noon Southall Stock Collection, MP WEAVER,,,42
,69, 11:30, SAINSBURY'S WALTHAM POINT / Noon Southall Stock Collection, MORAN,,,36
,72, 12:00, SAINSBURY'S SHERBURN IN ELMET / ALDI DARLINGTON, MORAN,,,31
,73, 12:30, TESCO SNODLAND (175) / Noon Southall Stock Collection, MORAN,,,35
,74, 12:30, SAINSBURY'S HAYDOCK / Hyde Stock Collection / Culina J27 M1, MP WEAVER,,,34
,75, 12:30, TESCO SOUTHAMPTON (235) / Noon Southall Stock Collection, MORAN,,,23
,76, 13:00, TESCO DAGENHAM (135) / Noon Southall Stock Collection, MORAN,,,26
,77, 13:00, TESCO WIDNES (875) / Hyde Stock Collection / Culina J27 M1, MP WEAVER,,,19
,78, 13:00, SAINSBURY'S HAMS HALL, MORAN,,,42
,79, 13:15, SAINSBURY'S NORTHAMPTON / Noon Southall Stock Collection, MP WEAVER,,,35
,80, 13:30, TESCO DONCASTER (095) / ALDI GOLDTHORPE, MORAN (TP),,,38
,81, 13:30, ALDI REG DIST BOLTON, CS2,,,14
,82, 14:00, TESCO AVONMOUTH (845), MORAN (TP),,,26
,83, 14:00, ALDI NESTON / Hyde Stock Collection / Culina J27 M1, MP WEAVER,,,13
,84, 14:00, TESCO DIDCOT (115), MORAN (TP),,,14
,87, 15:00, Aldi Sawley DC, MP WEAVER,,,15
,88, 15:00, TESCO PETERBOROUGH (315), MORAN,,,17
,89, 15:00, TESCO HINCKLEY (195) / ALDI ATHERSTONE / Noon Southall Stock Collection, MP WEAVER,,,36
,90, 15:00, COMPANY SHOP, MORAN,,,0
